Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01,tBid100,tBid30,tBid10,tBid3
5,,1355,1739,2200,,3635,3662,3761,3739,3677,3671,3172,3573,3700,3733,3845,3642,3451,3837,3622,3711,3854,4048,3928
10,,1414,1624,2011,,4562,4615,4695,4686,4738,4668,3027,3862,4577,4744,4892,4595,4475,4926,4689,4690,4912,5169,5004
15,,1466,1573,1925,,5171,5642,5643,5781,5704,5642,2854,3905,5110,5762,6130,5598,5494,6122,5860,5357,6139,6418,6355
20,,1464,1550,1824,,5643,6647,6736,6790,6438,6756,2745,3853,5475,6821,7425,6578,6279,7372,7091,5049,6668,7606,7660
25,,1459,1535,1760,,5836,7247,7565,7829,7447,7564,2602,3677,5538,7649,8283,7451,7090,8371,8156,4128,6093,8515,8518
30,,1468,1493,1738,,5763,7757,8211,8394,8071,8295,2511,3475,5636,8098,9132,8139,7814,9259,9164,3607,5262,8462,9383
35,,1455,1482,1693,,5499,8001,8800,8742,8671,8917,2402,3348,5720,8844,9900,8739,8194,9949,9535,3263,4639,7806,9664
40,,1449,1476,1674,,5344,8086,9149,9143,9315,9407,2344,3197,5296,8724,10375,9281,8522,10527,10173,3038,4132,7024,9756
45,,1425,1458,1666,,5133,8278,9164,9421,9482,9810,2293,3068,5117,9011,10790,9501,8784,10923,10655,2893,3887,6364,9708
50,,1401,1443,1644,,5011,8122,9573,9681,9695,9950,2220,2983,5036,9042,10983,9811,9067,11180,10836,2757,3608,6105,9405
55,,1393,1437,1628,,4856,8237,9386,9978,9945,10129,2185,2826,4970,9114,11286,9964,9504,11424,11167,2663,3424,5674,9759
60,,1375,1417,1628,,4716,8102,9685,10031,9989,10254,2114,2728,4726,9094,11434,10073,9319,11507,11295,2570,3276,5270,9051
65,,1359,1414,1593,,4547,8028,9696,10447,10132,10352,2094,2727,4752,8947,11712,10256,9327,11634,11361,2486,3232,4986,8864
70,,1377,1414,1576,,4363,7892,9637,10208,10186,10387,2030,2590,4624,8950,11791,10213,9179,11735,11404,2435,3113,4810,8734
75,,1349,1387,1591,,4240,7629,9818,10163,9928,9803,1997,2540,4355,9093,11706,10203,9336,11813,11486,2343,2933,4595,8688
80,,1347,1373,1573,,4096,7510,9691,10260,10171,10836,1971,2477,4354,9326,11606,10248,9191,12355,11494,2292,2850,4428,8197
85,,1336,1378,1560,,3987,7670,9755,10155,10199,10185,1919,2441,4192,9230,11774,10325,9344,12283,11146,2257,2751,4180,8324
90,,1316,1386,1558,,3849,7326,9709,10291,11022,9849,1952,2377,4063,8955,11738,10374,8983,12276,11181,2172,2642,4063,8486
95,,1321,1360,1522,,3874,7249,9623,10163,10071,10121,1942,2306,3970,9580,11798,10393,8881,12092,10654,2164,2536,3891,7837
100,,1319,1361,1488,,3677,7288,9425,10133,9625,10801,1950,2291,3878,9387,11863,10385,8781,11985,10278,2103,2485,3772,7590
105,,1327,1358,1474,,3584,7012,9401,10525,10850,9883,1935,2236,3771,8943,11850,10410,8677,12210,10108,2107,2406,3691,7067
110,,1327,1346,1485,,3476,6909,9499,10076,11042,10446,1914,2201,3811,8966,11649,10304,8529,12181,9982,2076,2389,3550,6372
115,,1427,1353,1476,,3462,7004,9285,10095,9544,9841,1909,2180,3741,8172,11703,10356,8531,12089,9721,2048,2352,3475,6599
120,,1399,1370,1469,,3363,6893,9245,9951,10889,9578,1872,2141,3547,8581,11498,10240,8548,12251,9480,2031,2307,3370,6711
125,,1377,1369,1470,,3305,6350,9254,9914,9258,9554,1843,2123,3575,8922,11503,10220,8517,11791,9435,1993,2262,3285,6287
130,,1329,1391,1471,,3214,6443,9148,10332,8901,9529,1863,2158,3414,8814,11374,10260,8416,11895,9691,1966,2215,3215,6230
135,,1305,1238,1456,,3123,6282,8914,9778,8912,9542,1778,2109,3342,8865,11386,10178,8254,11756,9178,1959,2255,3134,5957
140,,1308,1198,1470,,3037,6262,8708,9750,8724,8946,1763,2098,3471,8461,11297,10115,8201,12049,8966,1959,2119,3080,5925
145,,1256,1204,1708,,2988,6066,9439,9629,8522,8938,1699,2085,3305,8176,11324,10019,8007,11638,9442,1924,2096,2993,5728
150,,1210,1178,1357,,2857,6282,8470,9456,8614,8591,1691,2044,3146,8708,11160,9993,7948,11786,8656,1941,2077,2946,5509
155,,1191,1177,1374,,2905,5908,9284,9345,9319,9388,1670,2026,3151,8274,11152,9846,7833,11620,9449,1902,2044,2890,5192
160,,1182,1154,1366,,2706,5817,8239,9302,9843,9137,1666,2015,3093,8271,11063,9765,7740,11646,9261,1909,2040,2828,5099
165,,1158,1126,1316,,2453,5793,8019,9152,9279,9093,1651,1988,3064,8110,11048,9666,7627,11279,9636,1880,2022,2786,5141
170,,1130,1094,1284,,2247,5763,7184,9138,8741,8797,1627,1971,2961,7994,9962,9578,7512,11244,9272,1885,2000,2759,4705
175,,1117,1076,1268,,2223,6167,7064,9105,9461,9004,1619,1926,2866,7742,10868,9452,7350,11234,8758,1875,1961,2744,4555
180,,1104,1062,1245,,2025,5592,6300,8088,9214,9791,1684,1949,2922,7606,10431,9344,7268,10714,8260,1829,1926,2875,4671
