Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01
165,16019,2006,2039,2283,2719,5370,8079,9947,11968,14778,16326,2084,2074,2201,2548,3936,9741,14338,16265,16400
170,16283,2038,2025,2296,2703,5141,7830,9802,11715,14641,16303,2113,2097,2191,2566,3811,9268,14484,16232,16277
175,14533,2042,2047,2295,2629,5149,7630,9569,11304,14523,15847,2040,2079,2218,2534,3732,8849,14030,15853,16127
180,13429,2020,2041,2283,2642,4885,7404,9310,10776,14362,15945,1912,2073,2199,2542,3691,8672,13688,15662,16098
0,2027,1696,2339,2170,2043,1877,2013,1993,1951,2014,1993,2169,2298,2072,1961,1947,1914,2476,2025,1936
5,3151,1724,2623,3188,3306,2894,3055,2942,2944,3007,3046,2156,2380,2997,3093,2869,2930,3415,3134,2978
10,5087,1845,2756,3630,4696,4570,4687,4605,4591,4695,4700,2202,2447,2971,5009,4567,4568,5183,4956,4706
15,7105,1957,2835,3954,5567,6141,6432,6376,6292,6493,6625,2211,2461,2979,5809,6685,6375,6853,6912,6558
20,8949,2017,2787,4011,6156,7365,7845,7982,7968,8224,8309,2211,2484,2872,5829,8421,8069,8631,8716,8297
25,10088,2063,2684,3967,6529,8106,8953,9157,9367,9722,9698,2205,2465,2776,5488,9963,9299,10003,10172,9766
30,11235,2074,2616,3819,6606,9056,9839,10090,10599,10802,10898,2198,2436,2713,4925,10996,10492,11204,11446,10907
35,11749,2105,2515,3558,6496,9147,10387,10843,11289,11839,12033,2183,2405,2662,4443,11513,11446,12126,12527,11860
40,12376,2115,2441,3349,6209,9499,10752,11219,11934,12531,12770,2168,2389,2612,4071,11858,12340,12770,13091,12673
45,13273,2124,2387,3160,5985,9098,10801,11587,12345,12938,13347,2143,2368,2549,3858,11834,12658,13341,13769,13181
50,13175,2116,2362,2977,5542,9363,10902,11748,12736,13271,13919,2141,2328,2533,3707,11139,13311,13799,14273,13656
55,13813,2118,2359,2871,5161,9230,10879,11761,12892,13598,14274,2106,2312,2479,3550,10336,13905,14333,15189,14112
60,14274,2120,2336,2800,4856,8895,10705,11839,13043,14027,14841,2096,2300,2444,3425,9311,14159,14584,15371,14437
65,14042,2128,2302,2735,4535,8754,10557,11748,13222,14081,15072,2093,2277,2426,3381,8335,14209,14905,15277,14623
70,14015,2121,2265,2666,4301,8467,10368,11650,13081,14252,14964,2070,2247,2401,3263,7402,14519,15168,15410,14715
75,14199,2128,2240,2609,4160,8147,10124,11489,13087,14355,14977,2086,2264,2379,3182,6773,14480,15401,15715,15222
80,14204,2132,2234,2582,3976,7990,9892,11387,12947,14337,15234,2079,2237,2361,3159,6271,14731,15508,15676,15029
85,14158,2163,2225,2570,3826,7773,9768,11219,12915,14375,15378,2089,2221,2357,3105,5897,14415,15608,15746,15452
90,14186,2176,2177,2544,3750,7700,9603,11050,12746,14379,15288,2042,2213,2330,3038,5601,14383,15467,15846,15408
95,14448,2100,2182,2500,3658,7435,9535,10963,12630,14378,15422,2134,2200,2328,3010,5480,14206,15645,15894,15659
100,15095,2094,2169,2467,3502,7252,9379,10825,12544,14326,15475,2031,2206,2317,2951,5268,14062,15819,15858,15701
105,15173,2202,2152,2457,3395,7007,9309,10725,12426,14298,15487,2041,2194,2300,2918,5020,13785,15797,15944,15987
